Present,111,001,010,100,011,000,110,101
0010001000,0010001000,0010001000,1010101001,1011001001,1011101001,0010001000,0100010000,1100010000
0010101001,0010101001,0010101001,0010101001,0000000000,0010101010,0010101001,0100010000,1100010000
0010101010,0010101010,0010101010,0010101001,0000000000,0010101011,0010101010,0100010000,1100010000
0010101011,0010101011,0010101011,0010101010,0110001000,0010101011,0010101011,0100010000,1100010000
0011001001,0011001001,0011001001,0011001001,0000000000,0011001010,0011001001,0100010000,1100010000
0011001010,0011001010,0011001010,0011001001,0110001000,0011001011,0011001010,0100010000,1100010000
0011001011,0011001011,0011001011,0011001010,0000000000,0011001011,0011001011,0100010000,1100010000
0011101001,0011101001,0011101001,0011101001,0110001000,0011101010,0011101001,0100010000,1100010000
0011101010,0011101010,0011101010,0011101001,0000000000,0011101011,0011101010,0100010000,1100010000
0011101011,0011101011,0011101011,0011101010,0000000000,0011101011,0011101011,0100010000,1100010000
0100001000,0100001000,0100001000,1100101001,1101001001,1101101001,0100001000,0100010000,1100010000
0100010000,0100010000,0100010000,1100110001,1101010001,1101110001,0100010000,0100010000,1100010000
0100011000,0100011000,0100011000,1101011001,1101011001,1101111001,0100011000,0100010000,1100010000
0100101001,0100101001,0100101001,0100101001,1100001000,0100101010,0100101100,0100010000,1100010000
0100101010,0100101010,0100101010,0100101001,1100010000,0100101011,0100101100,0100010000,1100010000
0100101011,0100101011,0100101011,0100101010,1100011000,0100101011,0100101101,0100010000,1100010000
0100101100,0100101100,0100101001,0100101100,1010001000,0100101101,0100101100,0100010000,1100010000
0100101101,0100101101,0100101011,0100101100,1010001000,0100101101,0100101101,0100010000,1100010000
0101001001,0101001001,0101001001,0101001001,1100001000,0101001010,0101001100,0100010000,1100010000
0101001010,0101001010,0101001010,0101001001,1100010000,0101001011,0101001100,0100010000,1100010000
0101001011,0101001011,0101001011,0101001010,1100011000,0101001011,0101001101,0100010000,1100010000
0101001100,0101001100,0101001001,0101001100,1010001000,0101001101,0101001100,0100010000,1100010000
0101001101,0101001101,0101001011,0101001100,0110010000,0101001101,0101001101,0100010000,1100010000
0101101001,0101101001,0101101001,0101101001,1100001000,0101101010,0101101100,0100010000,1100010000
0101101010,0101101010,0101101010,0101101001,1100010000,0101101011,0101101100,0100010000,1100010000
0101101011,0101101011,0101101011,0101101010,1100011000,0101101011,0101101101,0100010000,1100010000
0101101100,0101101100,0101101001,0101101100,0110011000,0101101101,0101101100,0100010000,1100010000
0101101101,0101101101,0101101011,0101101100,1010001000,0101101101,0101101101,0100010000,1100010000
0100110001,0100110001,0100110001,0100110001,1100001000,0100110010,0100110100,0100010000,1100010000
0100110010,0100110010,0100110010,0100110001,1100010000,0100110011,0100110100,0100010000,1100010000
0100110011,0100110011,0100110011,0100110010,1100011000,0100110011,0100110101,0100010000,1100010000
0100110100,0100110100,0100110001,0100110100,1010001000,0100110101,0100110100,0100010000,1100010000
0100110101,0100110101,0100110011,0100110100,1010001000,0100110101,0100110101,0100010000,1100010000
0101010001,0101010001,0101010001,0101010001,1100001000,0101010010,0101010100,0100010000,1100010000
0101010010,0101010010,0101010010,0101010001,1100010000,0101010011,0101010100,0100010000,1100010000
0101010011,0101010011,0101010011,0101010010,1100011000,0101010011,0101010101,0100010000,1100010000
0101010100,0101010100,0101010001,0101010100,0100010000,0101010101,0101010100,0100010000,1100010000
0101010101,0101010101,0101010011,0101010100,0100010000,0101010101,0101010101,0100010000,1100010000
0101110001,0101110001,0101110001,0101110001,1100001000,0101110010,0101110100,0100010000,1100010000
0101110010,0101110010,0101110010,0101110001,1100010000,0101110011,0101110100,0100010000,1100010000
0101110011,0101110011,0101110011,0101110010,1100011000,0101110011,0101110101,0100010000,1100010000
0101110100,0101110100,0101110001,0101110100,1010001000,0101110101,0101110100,0100010000,1100010000
0101110101,0101110101,0101110011,0101110100,1010001000,0101110101,0101110101,0100010000,1100010000
0100111001,0100111001,0100111001,0100111001,1100001000,0100111010,0100111100,0100010000,1100010000
0100111010,0100111010,0100111010,0100111001,1100010000,0100111011,0100111100,0100010000,1100010000
0100111011,0100111011,0100111011,0100111010,1100011000,0100111011,0100111101,0100010000,1100010000
0100111100,0100111100,0100111001,0100111100,1010001000,0100111101,0100111100,0100010000,1100010000
0100111101,0100111101,0100111011,0100111100,0100001000,0100111101,0100111101,0100010000,1100010000
0101011001,0101011001,0101011001,0101011001,1100001000,0101011010,0101011100,0100010000,1100010000
0101011010,0101011010,0101011010,0101011001,1100010000,0101011011,0101011100,0100010000,1100010000
0101011011,0101011011,0101011011,0101011010,1100011000,0101011011,0101011101,0100010000,1100010000
0101011100,0101011100,0101011001,0101011100,0100010000,0101011101,0101011100,0100010000,1100010000
0101011101,0101011101,0101011011,0101011100,1010001000,0101011101,0101011101,0100010000,1100010000
0101111001,0101111001,0101111001,0101111001,1100001000,0101111010,0101111100,0100010000,1100010000
0101111010,0101111010,0101111010,0101111001,1100010000,0101111011,0101111100,0100010000,1100010000
0101111011,0101111011,0101111011,0101111010,1100011000,0101111011,0101111101,0100010000,1100010000
0101111100,0101111100,0101111001,0101111100,1010001000,0101111101,0101111100,0100010000,1100010000
