BR;case;def;now;next;counter;led
1;10;11;11;101;100;00000000010000000
0;01;00;01;000;001;00000001000000000
1;01;01;01;001;000;01000010000000010
1;01;01;01;001;001;00000001000000000
1;01;01;01;010;000;00100000000000100
1;01;01;01;010;001;00000001000000000
1;01;01;01;011;000;00010000100001000
1;01;01;01;011;001;00000001000000000
1;01;10;01;001;000;01000010000000010
1;01;10;01;001;001;00000001000000000
1;01;10;01;010;000;00100000000000100
1;01;10;01;010;001;00000001000000000
1;01;10;01;011;000;00010000100001000
1;01;10;01;011;001;00000001000000000
1;01;11;01;001;000;01000010000000010
1;01;11;01;001;001;00000001000000000
1;01;11;01;010;000;00100000000000100
1;01;11;01;010;001;00000001000000000
1;01;11;01;011;000;00010000100001000
1;01;11;01;011;001;00000001000000000
1;01;00;01;000;111;00000001000000000
0;11;01;01;001;100;10000100000000000
0;11;01;01;001;111;00000001000000000
0;11;01;01;010;100;00100001000000000
0;11;01;01;010;111;00000001000000000
0;11;01;01;011;100;00001000010000000
0;11;01;01;011;111;00000001000000000
0;11;10;01;001;100;10000100000000000
0;11;10;01;001;111;00000001000000000
0;11;10;01;010;100;00100001000000000
0;11;10;01;010;111;00000001000000000
0;11;10;01;011;100;00001000010000000
0;11;10;01;011;111;00000001000000000
0;11;11;01;001;100;10000100000000000
0;11;11;01;001;111;00000001000000000
0;11;11;01;010;100;00100001000000000
0;11;11;01;010;111;00000001000000000
0;11;11;01;011;100;00001000010000000
0;11;11;01;011;111;00000001000000000
